id,journal_id/.id,partner_id,partner_id/vat,tax_tag_ids,debit,credit,date,ref,invoice_date,account_id,journal_id,name,matching_number,move_name,tax_line_id,tax_ids,move_id,move_id/l10n_bg_document_type,journal_id/type,company_id/vat,Company,analytic_line_ids/amount,analytic_line_ids/account_id
__export__.account_move_line_58792_105538a7,18,ВЕНТУС СИСТЕМС ЕООД,BG131566714,'+11,0,400,28/11/2025,Услуги за периода 11.2025,28/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003162,,20%,1000003162 (Услуги за периода 11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58793_fbdb73b9,18,ВЕНТУС СИСТЕМС ЕООД,BG131566714,'+11,0,45,28/11/2025,Услуги за периода 11.2025,28/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003162,,20%,1000003162 (Услуги за периода 11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58794_80dfdd7c,18,ВЕНТУС СИСТЕМС ЕООД,BG131566714,'+21,0,89,28/11/2025,Услуги за периода 11.2025,28/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003162,20%,,1000003162 (Услуги за периода 11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_64498_f0577698,37,VANKO - K - 2008 EOOD,BG200311946,'+11,0,18000,27/11/2025,Заверка на финансов отчет по проект № BG-RRP-4.034-0139,27/11/2025,703005 Приходи одит,Customer Invoices за кочан 3----,,,3000000227,,20%,3000000227 (Заверка на финансов отчет по проект № BG- [...]),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_64501_c683e3f7,37,VANKO - K - 2008 EOOD,BG200311946,'+21,0,3600,27/11/2025,Заверка на финансов отчет по проект № BG-RRP-4.034-0139,27/11/2025,453200 Vat sales,Customer Invoices за кочан 3----,20% ПДК (чл.82),,3000000227,20%,,3000000227 (Заверка на финансов отчет по проект № BG- [...]),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62835_3104d3d2,18,АДА СОФТ ОДИТ ООД,BG202122357,'+11,0,1646,20/11/2025,,20/11/2025,703005 Приходи одит,Customer Invoices за кочан 1----,,,1000003161,,20%,1000003161,1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62838_bb9f92c3,18,АДА СОФТ ОДИТ ООД,BG202122357,'+21,0,329.2,20/11/2025,,20/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003161,20%,,1000003161,1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62492_ea588c8f,18,АДА СОФТ ОДИТ ООД,BG202122357,'-11,4790,0,19/11/2025,,19/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,,,RINV/2025/00001,,20%,RINV/2025/00001,3,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_66131_19211102,18,АДА СОФТ ОДИТ ООД,BG202122357,'-21,958,0,19/11/2025,,19/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20%,,RINV/2025/00001,20%,,RINV/2025/00001,3,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62649_8625276f,18,BLUBITO EOOD,BG175287871,'+11,0,1845,19/11/2025,Префактуриране подписи Стил Уеб 2026 - 120 бр. по проформа от Мсофт,19/11/2025,703003 Приходи консултации,Customer Invoices за кочан 1----,,,1000003160,,20%,1000003160 (Префактуриране подписи Стил Уеб 2026 - 120 [...]),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62651_918b6deb,18,BLUBITO EOOD,BG175287871,'+21,0,369,19/11/2025,Префактуриране подписи Стил Уеб 2026 - 120 бр. по проформа от Мсофт,19/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003160,20%,,1000003160 (Префактуриране подписи Стил Уеб 2026 - 120 [...]),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58800_45d5262d,18,BLUBITO EOOD,BG175287871,'+11,0,1466.87,13/11/2025,Услуги м.10.2025 и до 12.11.2025,13/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003159,,20%,1000003159 (Услуги м.10.2025 и до 12.11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58801_169abfe6,18,BLUBITO EOOD,BG175287871,'+11,0,1901.07,13/11/2025,Услуги м.10.2025 и до 12.11.2025,13/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003159,,20%,1000003159 (Услуги м.10.2025 и до 12.11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58802_f01eca50,18,BLUBITO EOOD,BG175287871,'+11,0,58.68,13/11/2025,Услуги м.10.2025 и до 12.11.2025,13/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,Прекр назначаване УП,,1000003159,,20%,1000003159 (Услуги м.10.2025 и до 12.11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58803_b0d8500c,18,BLUBITO EOOD,BG175287871,'+21,0,685.32,13/11/2025,Услуги м.10.2025 и до 12.11.2025,13/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003159,20%,,1000003159 (Услуги м.10.2025 и до 12.11.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_60341_8b05c88b,19,ЧЕЗ Електрохолд продажби България АД,BG175133827,'+31,57.67,0,10/11/2025,467543669,10/11/2025,"601006 costs electricity, water, heating",Vendor Bills,Продажби - 2025-11-10,,7811054564,,20% FTC,7811054564 (0467543669),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_60343_38301464,19,ЧЕЗ Електрохолд продажби България АД,BG175133827,'+41,11.53,0,10/11/2025,467543669,10/11/2025,453100 Vat purchases,Vendor Bills,20% FTC,,7811054564,20% FTC,,7811054564 (0467543669),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62817_08eb6337,19,Mediapan OOD,BG200507849,'+31,360,0,08/11/2025,86,08/11/2025,601110 Активи под прага,Vendor Bills,,,7811054570,,20% FTC,7811054570 (86),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62818_e8504d46,19,Mediapan OOD,BG200507849,'+31,530,0,08/11/2025,86,08/11/2025,601110 Активи под прага,Vendor Bills,,,7811054570,,20% FTC,7811054570 (86),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62819_4e5f2540,19,Mediapan OOD,BG200507849,'+31,622.5,0,08/11/2025,86,08/11/2025,601110 Активи под прага,Vendor Bills,,,7811054570,,20% FTC,7811054570 (86),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_62820_cfd327ca,19,Mediapan OOD,BG200507849,'+41,302.5,0,08/11/2025,86,08/11/2025,453100 Vat purchases,Vendor Bills,20% ПДК,,7811054570,20% FTC,,7811054570 (86),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58796_1115db8b,18,SEV'NSTROI EOOD,BG131369368,'+11,0,550,06/11/2025,Услуги за периода 10.2025,06/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003158,,20%,1000003158 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58797_bdfbbd13,18,SEV'NSTROI EOOD,BG131369368,'+11,0,169,06/11/2025,Услуги за периода 10.2025,06/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003158,,20%,1000003158 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58798_5c0e691b,18,SEV'NSTROI EOOD,BG131369368,'+21,0,143.8,06/11/2025,Услуги за периода 10.2025,06/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003158,20%,,1000003158 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58805_5214b15d,18,VMV Bild  OOD,BG205489643,'+11,0,400,06/11/2025,Услуги за периода 10.2025,06/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003157,,20%,1000003157 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58806_5218617a,18,VMV Bild  OOD,BG205489643,'+11,0,210,06/11/2025,Услуги за периода 10.2025,06/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003157,,20%,1000003157 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58807_d5da7930,18,VMV Bild  OOD,BG205489643,'+21,0,122,06/11/2025,Услуги за периода 10.2025,06/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003157,20%,,1000003157 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_60429_716e3522,19,ИДЕС,BG121131534,'+31,41.67,0,05/11/2025,1000052731,05/11/2025,60223 Обучения,Vendor Bills,ст - 2025-11-05,,7811054566,,20% FTC,7811054566 (1000052731),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_60431_dfea8adb,19,ИДЕС,BG121131534,'+41,8.33,0,05/11/2025,1000052731,05/11/2025,453100 Vat purchases,Vendor Bills,20% FTC,,7811054566,20% FTC,,7811054566 (1000052731),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_59923_63f9e3f2,19,ИДЕС,BG121131534,'+31,60,0,05/11/2025,1000052732,05/11/2025,60223 Обучения,Vendor Bills,ст - 2025-11-05,,7811054563,,20% FTC,7811054563 (1000052732),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_59925_f85b000b,19,ИДЕС,BG121131534,'+41,12,0,05/11/2025,1000052732,05/11/2025,453100 Vat purchases,Vendor Bills,20% FTC,,7811054563,20% FTC,,7811054563 (1000052732),1,Purchase,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58809_013a242b,18,SEMANTIK INTERAKTIV,BG202790805,'+11,0,300,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003156,,20%,1000003156 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58810_e56fa276,18,SEMANTIK INTERAKTIV,BG202790805,'+11,0,22,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003156,,20%,1000003156 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58811_b5340394,18,SEMANTIK INTERAKTIV,BG202790805,'+21,0,64.4,03/11/2025,Услуги за периода 10.2025,03/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003156,20%,,1000003156 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58891_0923b63a,18,MEDIKS-SAMOSTOIaTELNA MEDIKO-DIAGNOSTIChNA LABORATOR,,'+11,0,150,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003155,,20%,1000003155 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58892_854177a7,18,MEDIKS-SAMOSTOIaTELNA MEDIKO-DIAGNOSTIChNA LABORATOR,,'+11,0,180,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003155,,20%,1000003155 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58893_9072e025,18,MEDIKS-SAMOSTOIaTELNA MEDIKO-DIAGNOSTIChNA LABORATOR,,'+21,0,66,03/11/2025,Услуги за периода 10.2025,03/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003155,20%,,1000003155 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58874_877c8854,18,Gurme MN OOD,BG175042562,'+11,0,600,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003154,,20%,1000003154 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58875_415b2872,18,Gurme MN OOD,BG175042562,'+11,0,176,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003154,,20%,1000003154 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58876_d62a2db3,18,Gurme MN OOD,BG175042562,'+11,0,1200,03/11/2025,Услуги за периода 10.2025,03/11/2025,703004 Приходи обработка склад,Customer Invoices за кочан 1----,Въвеждане на склад,,1000003154,,20%,1000003154 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58877_91946883,18,Gurme MN OOD,BG175042562,'+21,0,395.2,03/11/2025,Услуги за периода 10.2025,03/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003154,20%,,1000003154 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58887_90ca655d,18,Miteva Akademi OOD,BG207307872,'+11,0,150,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003153,,20%,1000003153 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58888_9e3a4d34,18,Miteva Akademi OOD,BG207307872,'+11,0,12,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003153,,20%,1000003153 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58889_b3316a25,18,Miteva Akademi OOD,BG207307872,'+21,0,32.4,03/11/2025,Услуги за периода 10.2025,03/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003153,20%,,1000003153 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58883_847f708c,18,Файнанс Консулт ЕООД,BG201695368,'+11,0,130,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003152,,20%,1000003152 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58884_e94ffca0,18,Файнанс Консулт ЕООД,BG201695368,'+11,0,44,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003152,,20%,1000003152 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58885_26f1a522,18,Файнанс Консулт ЕООД,BG201695368,'+21,0,34.8,03/11/2025,Услуги за периода 10.2025,03/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003152,20%,,1000003152 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58879_6b13a2f4,18,Бай кънсалтинг енд сервисиз ЕООД,BG206671264,'+11,0,195.8,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003151,,20%,1000003151 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58880_be6b2b29,18,Бай кънсалтинг енд сервисиз ЕООД,BG206671264,'+11,0,19.58,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003151,,20%,1000003151 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58881_a334defc,18,Бай кънсалтинг енд сервисиз ЕООД,BG206671264,'+21,0,43.08,03/11/2025,Услуги за периода 10.2025,03/11/2025,453200 Vat sales,Customer Invoices за кочан 1----,20% ПДК (чл.82),,1000003151,20%,,1000003151 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58870_fc61041b,18,DECOR HOUSE Ltd.,,'+11,0,80,03/11/2025,Услуги за периода 10.2025,03/11/2025,703000 Приходи счетоводство,Customer Invoices за кочан 1----,Счетоводно обслужване/Accounting,,1000003150,,20%,1000003150 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
__export__.account_move_line_58871_56274b08,18,DECOR HOUSE Ltd.,,'+11,0,11,03/11/2025,Услуги за периода 10.2025,03/11/2025,703001 Приходи ТРЗ,Customer Invoices за кочан 1----,ТРЗ/ гр дог/Personal,,1000003150,,20%,1000003150 (Услуги за периода 10.2025),1,Sales,BG121666330,FAC Doema LTD,,
